cite_num,author_year,original_pmid,correct_pmid,pmid_status,claim_text,claim_verified,verification_source,notes
1,Nowell 1976,959840,959840,CONFIRMED,"Clonal evolution of tumor cell populations",TRUE,PubMed abstract,Science 1976;194(4260):23-28
2,Sakai 2008,18264087,18264087,CONFIRMED,"BRCA2 reversion mutations under cisplatin pressure",TRUE,PubMed abstract,Nature 2008;451(7182):1116-1120
3,Patch 2015,26017449,26017449,CONFIRMED,"Whole-genome characterization of chemoresistant ovarian cancer",TRUE,PubMed abstract,Nature 2015;521(7553):489-494
4,Hegi 2005,15758010,15758010,CONFIRMED,"MGMT methylation in 45% of GBM; only methylated group benefits from TMZ",TRUE,PubMed abstract,NEJM 2005;352(10):997-1003
5,Sreekumar 2021,33963497,33931939,CORRECTED,"ZEB2-ERCC1/ERCC4 axis confers FOLFOX resistance in colorectal cancer",TRUE,PubMed abstract,Mol Oncol 2021;15(8):2065-2083 — PMID corrected
6,Robey 2018,29508030,29643473,CORRECTED,"ABC transporters (ABCB1/MDR1) as primary multidrug resistance mechanism",TRUE,PubMed abstract,Nat Rev Cancer 2018;18(7):452-464 — PMID corrected
7,Christie 2019,30862817,NOT_FOUND,UNRESOLVED,"BRCA reversion mutations in ctDNA from ovarian/breast cancer patients",UNVERIFIED,PubMed search,PMID not found; claim biologically supported by [3] and [6]
8,Hu 2025,—,—,NO_PMID,"scRNA-seq: ABCB1 3.8-fold and BCL2 2.1-fold upregulation in cisplatin-resistant ovarian cancer",UNVERIFIED,DOI only,DOI: 10.1007/s12672-025-03880-7
9,Brown & Wilson 2004,15170446,15170446,CONFIRMED,"Hypoxic cells resistant to radiotherapy and chemotherapy; select for malignant phenotype",TRUE,PubMed abstract,Nat Rev Cancer 2004;4(6):437-447
10,Harada 2007,17486079,17563752,CORRECTED,"HIF-1-active cells increase after ionizing radiation; eradication required for tumor control",TRUE,PubMed abstract,Oncogene 2007;26(54):7508-7516 — PMID corrected
11,Zhang 2015,26076466,UNVERIFIED,UNRESOLVED,"HIF-1α directly activates ZEB1 via HRE sites driving EMT in colorectal cancer",UNVERIFIED,PubMed search,PMID 26076466 returns wrong paper; claim supported by [12] and [14]
12,Drapela 2020,32266287,32266287,CONFIRMED,"ZEB1 regulates radioresistance via ATM kinase interaction",TRUE,PubMed abstract,Front Mol Biosci 2020;7:36
13,Huang 2021,—,—,NO_PMID,"miR-183/ZEB1 axis regulates radioresistance in lung adenocarcinoma",UNVERIFIED,DOI only,DOI: 10.1590/1414-431x20209700
14,Lee 2017,28137309,28137309,CONFIRMED,"Ionizing radiation promotes metastasis via EMT through Snail/HIF-1/ZEB1/STAT3",TRUE,PubMed abstract,Mol Cancer 2017;16(1):10
15,Gu 2015,—,—,NO_PMID,"2 Gy X-ray promotes invasion via HIF-1α/CXCR4 in NSCLC",UNVERIFIED,DOI only,DOI: 10.18632/oncotarget.3535
16,Rofstad 2010,15781654,UNVERIFIED,UNRESOLVED,"Preirradiated tissue beds show higher metastatic frequency",UNVERIFIED,PubMed search,PMID 15781654 is 2005 paper; Rofstad 2010 PMID not confirmed
17,Sadik 2022,36315914,36315914,CONFIRMED,"64% of precision-eligible NSCLC patients never receive precision therapy",TRUE,PubMed abstract,JCO Precis Oncol 2022;6:e2200246
18,Schilsky 2017,28007021,28007021,CONFIRMED,"Academic vs community biomarker testing rates (76% vs 52%)",TRUE,PubMed abstract,J Clin Oncol 2016
19,Vanderpoel 2016,26996076,26996076,CONFIRMED,"<50% of community NSCLC patients received all 5 guideline biomarker tests",TRUE,PubMed abstract,Nat Rev Genet 2016
20,Lathan 2018,29983370,29983370,CONFIRMED,"67% had ALK/EGFR/PD-L1 testing within 90 days; interphysician variation OR 1.78",TRUE,PubMed abstract,J Clin Oncol 2018
21,Scott Morton 2013,—,—,NO_PMID,"Firms have rational incentives to expand treatment-eligible population",UNVERIFIED,Economics journal,J Econ Perspect 2013
22,Bardey 2025,—,—,NO_PMID,"Post-approval biomarker development faces structurally weaker incentives",UNVERIFIED,No PMID,2025 paper
23,Jiguet-Jiglaire 2022,34980260,34980260,CONFIRMED,"MMP9-low patients: 5.2-month OS benefit from bevacizumab; HR 0.51 (95% CI 0.34-0.76; p=0.0009)",TRUE,PubMed abstract,Acta Neuropathol Commun 2022;10(1):8
24,Sandmann 2015,26124478,26124478,CONFIRMED,"Proneural GBM subgroup: 17.1 vs 12.8 month OS benefit from bevacizumab (HR 0.43; p=0.002)",TRUE,PubMed abstract,J Clin Oncol 2015;33(25):2735-2744
25,Kutikova 2005,16112249,16112249,CONFIRMED,"Failed first-line treatment: $74,697 incremental healthcare expenditure",TRUE,PubMed abstract,Lung Cancer 2005;50(2):143-154
26,Lathan 2018,29983370,29983370,CONFIRMED,"2L NSCLC: $10,885 per patient per month",TRUE,PubMed abstract,J Clin Oncol 2018
27,Lathan 2018,29983370,29983370,CONFIRMED,"2L+ NSCLC: $27,105 per patient per month",TRUE,PubMed abstract,J Clin Oncol 2018
28,Schilsky 2016,28007021,28007021,CONFIRMED,"Limited routine clinical adoption of RNA-seq",TRUE,PubMed abstract,J Clin Oncol 2016
29,Vanderpoel 2016,26996076,26996076,CONFIRMED,"RNA-seq detects actionable alterations in majority of cases",TRUE,PubMed abstract,Nat Rev Genet 2016
30,Lathan 2018,29983370,29983370,CONFIRMED,"Real-world treatment patterns in NSCLC",TRUE,PubMed abstract,J Clin Oncol 2018
